initial, count
A,	18150180		
B,	8852314		
C,	13397326		
D,	10086540		
E,	10280714		
F,	2163724		
G,	4262069		
H,	4492958		
I,	2102512		
J,	15717213	
K,	11832651		
L,	12782543		
M,	20776273		
N,	4620845		
O,	1027186		
P,	5217473		
Q,	87628		
R,	7606752		
S,	14484112		
T,	6252160		
U,	55228		
V,	3722257		
W,	1298405		
X,	63272		
Y,	691661		
Z,	599108		
