initial, count
A,	12539530		
B,	8666104		
C,	13472332		
D,	15231292		
E,	7552860	
F,	3155376		
G,	6955198		
H,	4149201		
I,	1476689		
J,	31048972	
K,	6225760		
L,	7069810		
M,	13603438		
N,	3666189		
O,	1222685		
P,	4430418		
Q,	199652,
R,	17076086		
S,	8125435		
T,	8806425		
U,	104750		
V,	1244296		
W,	7350524		
X,	193159		
Y,	184861		
Z,	1024004	
